"","Artist","ArtistID","ArtistGenres","ArtistPopularity","ArtistNumFollowers","AlbumName","AlbumID","AlbumBestChartPosition","AlbumWeeksOnChart","AlbumWeeksNumberOne","AlbumPopularity","TrackName","TrackID","TrackDuration","TrackNumber","TrackDanceability","TrackEnergy","TrackKey","TrackLoudness","TrackMode","TrackSpeechiness","TrackAcousticness","TrackInstrumentalness","TrackLiveness","TrackValence","TrackTempo","TrackTimeSignature","Release_year","Release_month","Season","isPop","isRock","isFolk","isTechno","isRap","isJazz","isIndie","isMetal","isBlues","isPunk"
"22","The Kinks","1SQRv42e4PjEYfPhS0Tk9E","album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock",70,1266422,"The Kinks Are The Village Green Preservation Society","0YgkR96bK9JSHcj236W9ZK",NA,0,0,53,"Picture Book","5HOQNAXcPSwV7Gt8AV8qiP",159266,3,0.827,0.952,0,-7.453,1,0.0314,0.172,0.00043,0.228,0.971,121.192,4,1968,"November","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"23","The Kinks","1SQRv42e4PjEYfPhS0Tk9E","album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock",70,1266422,"The Kinks Are The Village Green Preservation Society","0YgkR96bK9JSHcj236W9ZK",NA,0,0,53,"Johnny Thunder","0RacUz49IeiaBOmcBYw3Ut",153386,4,0.573,0.717,2,-6.604,1,0.0294,0.0398,0.000619,0.0939,0.625,98.293,4,1968,"November","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"24","The Kinks","1SQRv42e4PjEYfPhS0Tk9E","album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock",70,1266422,"The Kinks Are The Village Green Preservation Society","0YgkR96bK9JSHcj236W9ZK",NA,0,0,53,"Last of the Steam-Powered Trains","0qvxKCuZN6ytXtM6fkLbgD",253066,5,0.431,0.858,9,-5.711,1,0.0704,0.0174,0.0414,0.0491,0.815,138.579,4,1968,"November","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"25","The Kinks","1SQRv42e4PjEYfPhS0Tk9E","album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock",70,1266422,"The Kinks Are The Village Green Preservation Society","0YgkR96bK9JSHcj236W9ZK",NA,0,0,53,"Big Sky","43lZ8nY0TNIy2CX3BYCatV",172706,6,0.553,0.798,10,-7.405,1,0.0274,0.00659,0.000612,0.0923,0.56,98.285,4,1968,"November","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"26","The Kinks","1SQRv42e4PjEYfPhS0Tk9E","album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock",70,1266422,"The Kinks Are The Village Green Preservation Society","0YgkR96bK9JSHcj236W9ZK",NA,0,0,53,"Sitting By the Riverside","7LWBujrBqwKdwk9mDK8N3V",146120,7,0.533,0.638,0,-7.948,1,0.0291,0.433,0,0.264,0.772,137.798,4,1968,"November","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"27","The Kinks","1SQRv42e4PjEYfPhS0Tk9E","album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock",70,1266422,"The Kinks Are The Village Green Preservation Society","0YgkR96bK9JSHcj236W9ZK",NA,0,0,53,"Animal Farm","1r7bRpUS1mTQJeUmaamCk8",181546,8,0.541,0.678,2,-7.624,1,0.0319,0.556,0,0.0611,0.713,77.478,4,1968,"November","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"28","The Kinks","1SQRv42e4PjEYfPhS0Tk9E","album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock",70,1266422,"The Kinks Are The Village Green Preservation Society","0YgkR96bK9JSHcj236W9ZK",NA,0,0,53,"Village Green","7bgrkhm1asIRdqcbmmlDT4",131173,9,0.7,0.81,0,-6.089,0,0.0266,0.216,1.09e-05,0.0948,0.895,103.415,4,1968,"November","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"29","The Kinks","1SQRv42e4PjEYfPhS0Tk9E","album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock",70,1266422,"The Kinks Are The Village Green Preservation Society","0YgkR96bK9JSHcj236W9ZK",NA,0,0,53,"Starstruck","6DPKLW6woD3B6hI7RD69UA",144306,10,0.64,0.785,5,-5.853,1,0.03,0.171,0,0.108,0.902,134.708,4,1968,"November","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"30","The Kinks","1SQRv42e4PjEYfPhS0Tk9E","album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock",70,1266422,"The Kinks Are The Village Green Preservation Society","0YgkR96bK9JSHcj236W9ZK",NA,0,0,53,"Phenomenal Cat","30x1pcfIxqwDOGBGeOLRLM",161120,11,0.537,0.248,2,-11.695,1,0.0397,0.736,3.05e-06,0.0846,0.274,58.128,4,1968,"November","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"31","The Kinks","1SQRv42e4PjEYfPhS0Tk9E","album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock",70,1266422,"The Kinks Are The Village Green Preservation Society","0YgkR96bK9JSHcj236W9ZK",NA,0,0,53,"All of My Friends Were There","0Q2S7WezdxOedwVO2jYv7V",148533,12,0.525,0.654,10,-8.013,1,0.0935,0.105,0,0.106,0.656,131.949,4,1968,"November","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"32","The Kinks","1SQRv42e4PjEYfPhS0Tk9E","album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock",70,1266422,"The Kinks Are The Village Green Preservation Society","0YgkR96bK9JSHcj236W9ZK",NA,0,0,53,"Wicked Annabella","4SbXW0iq6UqJKKwRmwJXAw",165266,13,0.659,0.889,9,-6.904,1,0.0399,0.19,0.00011,0.0523,0.601,104.483,4,1968,"November","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"33","The Kinks","1SQRv42e4PjEYfPhS0Tk9E","album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock",70,1266422,"The Kinks Are The Village Green Preservation Society","0YgkR96bK9JSHcj236W9ZK",NA,0,0,53,"Monica","10VFetiiFDmxLLUsjaRFHJ",138960,14,0.628,0.783,7,-7.799,1,0.0323,0.228,0,0.057,0.922,132.601,4,1968,"November","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"34","The Kinks","1SQRv42e4PjEYfPhS0Tk9E","album rock,art rock,british invasion,classic rock,dance rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,roots rock",70,1266422,"The Kinks Are The Village Green Preservation Society","0YgkR96bK9JSHcj236W9ZK",NA,0,0,53,"People Take Pictures of Each Other","6MHBmNtd4bTbNThOMzwFX5",131135,15,0.741,0.927,0,-7.014,1,0.054,0.153,2.92e-06,0.0635,0.963,146.848,4,1968,"November","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"35","The Animals","3ICflSq6ZgYAIrm2CTkfVP","album rock,blues-rock,british invasion,classic rock,folk rock,hard rock,protopunk,psychedelic rock,rock",67,1200751,"Animals","3c3VkRXYbjHDeJFiUq8Hse",6,20,0,37,"The Story of Bo Diddley","7hBqUIGI6PTxT76JIxJZBo",345226,1,0.792,0.529,5,-8.968,0,0.0535,0.568,0.000731,0.115,0.675,122.006,4,1964,"September","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"36","The Animals","3ICflSq6ZgYAIrm2CTkfVP","album rock,blues-rock,british invasion,classic rock,folk rock,hard rock,protopunk,psychedelic rock,rock",67,1200751,"Animals","3c3VkRXYbjHDeJFiUq8Hse",6,20,0,37,"Bury My Body","3KeQE5QcCU7rdTtAq4diWc",172640,2,0.463,0.543,5,-7.612,1,0.0294,0.159,0,0.198,0.806,132.099,4,1964,"September","autumn",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
