"","Appointment_Date","Appointment_Count","Weekday","MonthYear","Month","patients","all_patients","ratio_patients"
"156",2018-06-05,9695,"Tuesday","2018-06","06",0,0,0
"157",2018-06-06,9370,"Wednesday","2018-06","06",0,0,0
"158",2018-06-07,7041,"Thursday","2018-06","06",0,0,0
"159",2018-06-08,9200,"Friday","2018-06","06",0,0,0
"160",2018-06-09,275,"Saturday","2018-06","06",0,0,0
"161",2018-06-10,1,"Sunday","2018-06","06",0,0,0
"162",2018-06-11,10190,"Monday","2018-06","06",0,0,0
"163",2018-06-12,9537,"Tuesday","2018-06","06",0,0,0
"164",2018-06-13,8937,"Wednesday","2018-06","06",0,0,0
"165",2018-06-14,7293,"Thursday","2018-06","06",0,0,0
"166",2018-06-15,8020,"Friday","2018-06","06",0,0,0
"167",2018-06-16,234,"Saturday","2018-06","06",0,0,0
"168",2018-06-17,1,"Sunday","2018-06","06",0,0,0
"169",2018-06-18,10193,"Monday","2018-06","06",0,0,0
"170",2018-06-19,9115,"Tuesday","2018-06","06",0,0,0
"171",2018-06-20,7957,"Wednesday","2018-06","06",0,0,0
"172",2018-06-21,7368,"Thursday","2018-06","06",0,0,0
"173",2018-06-22,8725,"Friday","2018-06","06",0,0,0
"174",2018-06-23,196,"Saturday","2018-06","06",0,0,0
"175",2018-06-24,23,"Sunday","2018-06","06",0,0,0
"176",2018-06-25,10080,"Monday","2018-06","06",0,0,0
"177",2018-06-26,9307,"Tuesday","2018-06","06",0,0,0
"178",2018-06-27,8872,"Wednesday","2018-06","06",0,0,0
"179",2018-06-28,7495,"Thursday","2018-06","06",0,0,0
"180",2018-06-29,8596,"Friday","2018-06","06",0,0,0
"181",2018-06-30,293,"Saturday","2018-06","06",0,0,0
"182",2018-07-01,53,"Sunday","2018-07","07",0,0,0
"183",2018-07-02,10151,"Monday","2018-07","07",0,0,0
"184",2018-07-03,9365,"Tuesday","2018-07","07",0,0,0
"185",2018-07-04,8679,"Wednesday","2018-07","07",0,0,0
"186",2018-07-05,7760,"Thursday","2018-07","07",0,0,0
"187",2018-07-06,8776,"Friday","2018-07","07",0,0,0
"188",2018-07-07,317,"Saturday","2018-07","07",0,0,0
"189",2018-07-08,13,"Sunday","2018-07","07",0,0,0
"190",2018-07-09,10135,"Monday","2018-07","07",0,0,0
"191",2018-07-10,9093,"Tuesday","2018-07","07",0,0,0
"192",2018-07-11,8541,"Wednesday","2018-07","07",0,0,0
"193",2018-07-12,7248,"Thursday","2018-07","07",0,0,0
"194",2018-07-13,8811,"Friday","2018-07","07",0,0,0
"195",2018-07-14,191,"Saturday","2018-07","07",0,0,0
"196",2018-07-15,13,"Sunday","2018-07","07",0,0,0
"197",2018-07-16,9996,"Monday","2018-07","07",0,0,0
"198",2018-07-17,9142,"Tuesday","2018-07","07",0,0,0
"199",2018-07-18,8605,"Wednesday","2018-07","07",0,0,0
"200",2018-07-19,7408,"Thursday","2018-07","07",0,0,0
"201",2018-07-20,8551,"Friday","2018-07","07",0,0,0
"202",2018-07-21,249,"Saturday","2018-07","07",0,0,0
"203",2018-07-22,13,"Sunday","2018-07","07",0,0,0
"204",2018-07-23,9663,"Monday","2018-07","07",0,0,0
"205",2018-07-24,9001,"Tuesday","2018-07","07",0,0,0
"206",2018-07-25,8113,"Wednesday","2018-07","07",0,0,0
"207",2018-07-26,7304,"Thursday","2018-07","07",0,0,0
"208",2018-07-27,8354,"Friday","2018-07","07",0,0,0
"209",2018-07-28,208,"Saturday","2018-07","07",0,0,0
"210",2018-07-29,11,"Sunday","2018-07","07",0,0,0
"211",2018-07-30,9289,"Monday","2018-07","07",0,0,0
